TransactionID,CreditScore,PreviousFraudCount,UserID,MerchantID,MerchantCategory,MerchantRisk,DeviceType,City,Country,LocationRisk,Amount,TransactionType,Timestamp,HourOfDay,DayOfWeek,PreviousBalance,CurrentBalance,RiskScore,IsNewDevice,IsNewLocation,FraudLabel
TXN8173B3F23B3E,580,1,USR035658,MER000972,Luxury,Low,Laptop,Pyongyang,North Korea,High,34031,Wallet,2026-06-28 11:54:33.534586,11,Sunday,3081236,3047205,60,True,False,1
TXN06BE84C2AE73,783,0,USR013113,MER002559,Restaurant,Low,Tablet,Mumbai,India,Low,51459,Credit Card,2025-07-25 16:38:50.138395,16,Friday,3204792,3153333,0,False,False,0
TXNFBF5E496245E,701,0,USR009225,MER003882,Travel,Low,iPhone,Pyongyang,North Korea,High,24159,Wallet,2026-02-09 05:44:03.147086,5,Monday,1745566,1721407,20,False,False,0
TXN99688170CCE2,741,0,USR008191,MER000125,Restaurant,Medium,Tablet,Sydney,Australia,Medium,72132,Debit Card,2025-09-11 20:54:54.117985,20,Thursday,2349926,2277794,20,False,False,0
TXN77DD0A5CA750,844,0,USR024279,MER001164,E-Commerce,Low,Laptop,Lagos,Nigeria,High,9894,Net Banking,2025-07-23 15:54:16.924187,15,Wednesday,1812684,1802790,20,False,False,0
TXN7DDF639BD3CA,833,0,USR035316,MER000680,Healthcare,Low,Android,Kolkata,India,Low,11680,UPI,2025-10-19 19:18:02.837981,19,Sunday,552092,540412,0,False,False,0
TXND85069FB11EF,748,0,USR034893,MER004976,E-Commerce,Medium,Android,Singapore,Singapore,Low,2155,Wallet,2026-04-28 23:56:00.019077,23,Tuesday,139059,136904,10,False,False,0
TXN782A5B352CAF,876,0,USR049048,MER001319,Restaurant,Low,iPhone,Hyderabad,India,Low,89953,Net Banking,2026-02-04 18:33:43.519086,18,Wednesday,4535447,4445494,25,True,False,0
TXN10F3C60CE802,616,0,USR005287,MER003445,Fuel,Low,iPhone,Hyderabad,India,Low,27424,UPI,2025-12-03 05:28:47.236412,5,Wednesday,1833425,1806001,0,False,False,0
TXN0EAEEDFB7A55,621,0,USR008751,MER004681,Luxury,Medium,iPhone,London,UK,Medium,934,Debit Card,2026-06-20 11:43:14.718164,11,Saturday,127418,126484,20,False,False,0
TXNC5642657DC56,559,0,USR018192,MER002310,Fuel,Low,Laptop,San Francisco,USA,Medium,8182,Debit Card,2026-05-05 10:40:38.015390,10,Tuesday,771168,762986,35,True,False,0
TXN7E6365D6CFFE,610,0,USR048232,MER004331,Restaurant,High,iPhone,Sydney,Australia,Medium,75075,Net Banking,2025-08-23 09:01:11.957069,9,Saturday,2780002,2704927,30,False,False,0
TXN0537D4E56EC4,696,0,USR037560,MER003478,Grocery,Low,Laptop,Sydney,Australia,Medium,44548,Net Banking,2025-12-11 23:24:52.130004,23,Thursday,982552,938004,10,False,False,0
TXN7DD1A3AE006E,703,0,USR042330,MER000424,E-Commerce,Low,iPhone,Chennai,India,Low,9534,UPI,2026-03-14 05:43:50.068081,5,Saturday,1297342,1287808,20,False,True,0
TXNC490152DA037,660,0,USR036131,MER004173,Restaurant,Low,Android,New York,USA,Medium,30518,Debit Card,2026-05-01 16:00:07.646528,16,Friday,4158044,4127526,10,False,False,0
TXNF5D765E4B4AA,732,0,USR025840,MER000696,Entertainment,Low,Tablet,Lagos,Nigeria,High,51592,Credit Card,2026-06-02 08:44:05.887892,8,Tuesday,4075127,4023535,20,False,False,0
TXN8B4CB625FABD,712,0,USR042229,MER001544,Grocery,Low,Laptop,London,UK,Medium,10736,Debit Card,2025-10-21 06:47:20.796586,6,Tuesday,2062090,2051354,10,False,False,0
TXNE90F36891011,645,0,USR040368,MER001098,Healthcare,Low,Laptop,New York,USA,Medium,5747,Net Banking,2025-08-12 10:12:24.398740,10,Tuesday,685111,679364,10,False,False,0
TXN68DCFABE61CD,655,0,USR029558,MER003736,Grocery,Low,Android,Lagos,Nigeria,High,28731,UPI,2025-08-29 07:29:20.837749,7,Friday,1170336,1141605,20,False,False,0
TXNA3E5D85AE6FF,620,0,USR010804,MER004270,E-Commerce,Low,iPhone,Pyongyang,North Korea,High,17486,Credit Card,2026-02-28 12:32:36.188308,12,Saturday,884629,867143,20,False,False,0
TXNE94CF0C9DAA7,824,0,USR034494,MER003539,Travel,Low,Laptop,Mumbai,India,Low,7322,Debit Card,2026-01-26 11:58:00.797797,11,Monday,1465039,1457717,0,False,False,0
TXNCE0C2F35D7E3,869,1,USR038171,MER004377,E-Commerce,Low,iPhone,Moscow,Russia,High,89409,UPI,2026-05-17 03:18:31.689778,3,Sunday,2893618,2804209,35,False,False,0
TXNCA7EA4833C81,690,0,USR049685,MER003786,Travel,Low,Laptop,Berlin,Germany,Medium,25976,Wallet,2025-07-30 18:54:51.306850,18,Wednesday,2221959,2195983,10,False,False,0
TXNBB7E90E9BCA7,740,0,USR038933,MER003663,Fuel,Low,Android,Moscow,Russia,High,11532,Debit Card,2026-06-24 05:43:16.290673,5,Wednesday,3867908,3856376,20,False,False,0
TXN2D64EE7461AB,776,0,USR044727,MER004311,Grocery,Low,Tablet,Berlin,Germany,Medium,2256,Debit Card,2025-11-02 00:10:49.883052,0,Sunday,145040,142784,10,False,False,0
TXNECDD17F3555A,715,0,USR020791,MER003337,Entertainment,Medium,Tablet,Bengaluru,India,Low,10431,Net Banking,2025-08-12 15:14:26.859091,15,Tuesday,1044493,1034062,10,False,False,0
TXNAA27B761C132,559,0,USR038801,MER003372,Grocery,Low,Tablet,Lagos,Nigeria,High,21672,Wallet,2026-02-28 18:39:25.887625,18,Saturday,791691,770019,20,False,False,0
TXN98ADDBFD5C96,833,0,USR049920,MER001764,Fuel,Low,Android,Sydney,Australia,Medium,33081,Credit Card,2025-11-06 23:54:23.604424,23,Thursday,3717638,3684557,10,False,False,0
TXN46C2164C8807,643,0,USR040528,MER002381,Fuel,Low,Laptop,Berlin,Germany,Medium,52762,UPI,2025-08-29 20:21:40.086275,20,Friday,6653787,6601025,10,False,False,0
TXNDD9B63CCB109,641,0,USR046685,MER003590,E-Commerce,Low,Laptop,Kolkata,India,Low,53908,UPI,2025-12-15 07:41:31.006724,7,Monday,3770527,3716619,0,False,False,0
TXN1D9191B02C37,746,0,USR005727,MER002301,Travel,Low,iPhone,Lagos,Nigeria,High,3798,Debit Card,2025-12-14 11:47:21.262906,11,Sunday,1218682,1214884,20,False,False,0
TXNB892502BE63C,617,0,USR026282,MER004139,E-Commerce,Low,Android,Dubai,UAE,Medium,9818,Wallet,2026-02-18 12:33:59.755011,12,Wednesday,752079,742261,10,False,False,0
TXNDAF218B07AF5,756,0,USR032340,MER004672,Healthcare,Low,iPhone,Bengaluru,India,Low,16204,Debit Card,2025-08-10 01:20:07.248603,1,Sunday,1040314,1024110,0,False,False,0
TXN809A5DF4FA4F,690,0,USR008857,MER000361,Grocery,Low,iPhone,Chennai,India,Low,8452,Credit Card,2025-07-09 19:32:53.261065,19,Wednesday,2207879,2199427,0,False,False,0
TXNB49581057A3C,781,0,USR011660,MER003410,Travel,Low,Laptop,Mumbai,India,Low,18605,Net Banking,2026-04-09 08:27:28.984329,8,Thursday,3780295,3761690,0,False,False,0
TXNA8DD4C59B290,757,0,USR021192,MER000883,Fuel,Low,Android,New York,USA,Medium,102414,Wallet,2026-05-04 14:37:46.487449,14,Monday,1997408,1894994,10,False,False,0
TXNE7CF509D94DB,771,0,USR045829,MER003648,Entertainment,Low,Android,Chennai,India,Low,58641,Credit Card,2026-04-21 03:23:07.593387,3,Tuesday,8631706,8573065,20,False,True,0
TXN4A408AC2C32F,723,0,USR041364,MER004218,E-Commerce,Low,iPhone,Moscow,Russia,High,11789,Net Banking,2026-04-09 06:10:40.824676,6,Thursday,355608,343819,20,False,False,0
TXN70FC72D133F0,663,0,USR044132,MER004827,Luxury,Low,Laptop,Dubai,UAE,Medium,24171,Wallet,2025-11-06 03:03:46.133736,3,Thursday,1569679,1545508,10,False,False,0
TXN00EDE66FC105,629,0,USR019492,MER001626,E-Commerce,Low,Tablet,Mumbai,India,Low,17188,Net Banking,2026-02-05 10:56:16.039396,10,Thursday,2891797,2874609,0,False,False,0
TXNE7DB542B8832,674,0,USR010177,MER000524,Grocery,Low,iPhone,Kolkata,India,Low,25986,Debit Card,2026-06-10 05:18:51.409687,5,Wednesday,911982,885996,0,False,False,0
